08/02/18, AM : 5:00-11:59,(Heavy Traffic=1061, Other=227, Mechanical Problem=96), PM : 12:00-19:00,(Heavy Traffic=148, Other=61, Late return from Field Trip=25)
15/02/18, AM : 5:00-11:59,(Heavy Traffic=257, Other=58, Mechanical Problem=40), PM : 12:00-19:00,(Heavy Traffic=64, Other=38, Late return from Field Trip=20)
22/02/18, AM : 5:00-11:59,(Heavy Traffic=889, Other=208, Mechanical Problem=144), PM : 12:00-19:00,(Heavy Traffic=134, Other=47, Mechanical Problem=21)
01/03/18, AM : 5:00-11:59,(Heavy Traffic=1464, Other=223, Mechanical Problem=158), PM : 12:00-19:00,(Heavy Traffic=339, Weather Conditions=71, Other=49)
08/03/18, AM : 5:00-11:59,(Heavy Traffic=1801, Other=296, Weather Conditions=129), PM : 12:00-19:00,(Heavy Traffic=318, Other=67, Mechanical Problem=27)
15/03/18, AM : 5:00-11:59,(Heavy Traffic=1334, Other=259, Mechanical Problem=112), PM : 12:00-19:00,(Heavy Traffic=256, Late return from Field Trip=45, Other=43)
22/03/18, AM : 5:00-11:59,(Heavy Traffic=1364, Other=312, Weather Conditions=263), PM : 12:00-19:00,(Heavy Traffic=332, Late return from Field Trip=60, Other=59)
29/03/18, AM : 5:00-11:59,(Heavy Traffic=220, Other=40, Weather Conditions=11), PM : 12:00-19:00,(Heavy Traffic=43, Other=7, Late return from Field Trip=6)
05/04/18, AM : 5:00-11:59,(Heavy Traffic=759, Other=183, Mechanical Problem=95), PM : 12:00-19:00,(Heavy Traffic=147, Other=36, Late return from Field Trip=35)
12/04/18, AM : 5:00-11:59,(Heavy Traffic=1025, Other=190, Weather Conditions=112), PM : 12:00-19:00,(Heavy Traffic=305, Other=48, Late return from Field Trip=41)
19/04/18, AM : 5:00-11:59,(Heavy Traffic=1364, Other=220, Mechanical Problem=89), PM : 12:00-19:00,(Heavy Traffic=281, Late return from Field Trip=59, Other=33)
26/04/18, AM : 5:00-11:59,(Heavy Traffic=1512, Other=233, Mechanical Problem=114), PM : 12:00-19:00,(Heavy Traffic=421, Late return from Field Trip=139, Other=77)
03/05/18, AM : 5:00-11:59,(Heavy Traffic=1108, Other=230, Mechanical Problem=98), PM : 12:00-19:00,(Heavy Traffic=318, Late return from Field Trip=60, Other=54)
