01/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=3)
21/01/16, AM : 5:00-11:59,(Heavy Traffic=142, Other=41, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=19, Other=9, Late return from Field Trip=4)
22/01/16, AM : 5:00-11:59,(Heavy Traffic=120, Other=39, Weather Conditions=12),PM : 12:00-19:00,(Heavy Traffic=21, Late return from Field Trip=6, Other=6)
25/01/16, AM : 5:00-11:59,(Weather Conditions=741, Heavy Traffic=129, Other=83),PM : 12:00-19:00,(Weather Conditions=34, Heavy Traffic=14, Other=8)
26/01/16, AM : 5:00-11:59,(Heavy Traffic=344, Weather Conditions=263, Other=55),PM : 12:00-19:00,(Heavy Traffic=30, Other=7, Weather Conditions=5)
27/01/16, AM : 5:00-11:59,(Heavy Traffic=238, Other=50, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=27, Delayed by School=5, Other=4)
28/01/16, AM : 5:00-11:59,(Heavy Traffic=283, Other=30, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=11, Other=3, Delayed by School=2)
29/01/16, AM : 5:00-11:59,(Heavy Traffic=114, Other=36, Problem Run=7),PM : 12:00-19:00,(Heavy Traffic=20, Other=5, Delayed by School=2)
01/02/16, AM : 5:00-11:59,(Heavy Traffic=174, Other=51, Won`t Start=12),PM : 12:00-19:00,(Heavy Traffic=15, Other=14, Mechanical Problem=3)
02/02/16, AM : 5:00-11:59,(Heavy Traffic=130, Other=42, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=8, Other=7, Mechanical Problem=3)
03/02/16, AM : 5:00-11:59,(Heavy Traffic=135, Other=61, Mechanical Problem=9),PM : 12:00-19:00,(Heavy Traffic=13, Late return from Field Trip=9, Other=9)
04/02/16, AM : 5:00-11:59,(Heavy Traffic=125, Other=35, Problem Run=11),PM : 12:00-19:00,(Heavy Traffic=13, Other=11, Late return from Field Trip=5)
05/02/16, AM : 5:00-11:59,(Weather Conditions=396, Heavy Traffic=94, Other=18),PM : 12:00-19:00,(Heavy Traffic=7, Other=5, Delayed by School=3)
08/02/16, AM : 5:00-11:59,(Heavy Traffic=23, Other=13, Won`t Start=3),PM : 12:00-19:00,(Heavy Traffic=1)
09/02/16, AM : 5:00-11:59,(Heavy Traffic=210, Other=51, Mechanical Problem=17),PM : 12:00-19:00,(Heavy Traffic=11, Other=5, Late return from Field Trip=4)
10/02/16, AM : 5:00-11:59,(Heavy Traffic=127, Other=40, Mechanical Problem=11),PM : 12:00-19:00,(Heavy Traffic=22, Late return from Field Trip=11, Delayed by School=3)
11/02/16, AM : 5:00-11:59,(Heavy Traffic=120, Other=43, Mechanical Problem=11),PM : 12:00-19:00,(Heavy Traffic=15, Late return from Field Trip=12, Other=3)
12/02/16, AM : 5:00-11:59,(Heavy Traffic=147, Other=39, Won`t Start=17),PM : 12:00-19:00,(Heavy Traffic=26, Late return from Field Trip=8, Other=4)
16/02/16, AM : 5:00-11:59,(Weather Conditions=4, Other=4, Heavy Traffic=2),PM : 12:00-19:00,(Weather Conditions=1)
17/02/16, AM : 5:00-11:59,(Heavy Traffic=4, Other=3, Won`t Start=2),PM : 12:00-19:00,(Heavy Traffic=1)
18/02/16, AM : 5:00-11:59,(Heavy Traffic=4, Mechanical Problem=2, Other=2)
19/02/16, AM : 5:00-11:59,(Heavy Traffic=4, Won`t Start=1),PM : 12:00-19:00,(Other=1)
22/02/16, AM : 5:00-11:59,(Heavy Traffic=178, Other=74, Mechanical Problem=27),PM : 12:00-19:00,(Heavy Traffic=18, Other=11, Mechanical Problem=4)
23/02/16, AM : 5:00-11:59,(Heavy Traffic=115, Other=41, Problem Run=12),PM : 12:00-19:00,(Heavy Traffic=20, Late return from Field Trip=4, Weather Conditions=4)
24/02/16, AM : 5:00-11:59,(Heavy Traffic=166, Other=27, Weather Conditions=19),PM : 12:00-19:00,(Heavy Traffic=21, Late return from Field Trip=6, Other=3)
25/02/16, AM : 5:00-11:59,(Heavy Traffic=119, Other=35, Problem Run=10),PM : 12:00-19:00,(Other=19, Heavy Traffic=17, Late return from Field Trip=4)
26/02/16, AM : 5:00-11:59,(Heavy Traffic=114, Other=16, Problem Run=9),PM : 12:00-19:00,(Heavy Traffic=10, Other=9, Late return from Field Trip=3)
29/02/16, AM : 5:00-11:59,(Heavy Traffic=136, Other=67, Mechanical Problem=15),PM : 12:00-19:00,(Heavy Traffic=21, Other=4, Delayed by School=3)
01/03/16, AM : 5:00-11:59,(Heavy Traffic=105, Other=40, Problem Run=10),PM : 12:00-19:00,(Heavy Traffic=11, Late return from Field Trip=8, Accident=5)
02/03/16, AM : 5:00-11:59,(Heavy Traffic=178, Other=44, Problem Run=15),PM : 12:00-19:00,(Heavy Traffic=15, Late return from Field Trip=5, Other=4)
03/03/16, AM : 5:00-11:59,(Heavy Traffic=122, Other=35, Problem Run=9),PM : 12:00-19:00,(Heavy Traffic=10, Other=10, Accident=3)
04/03/16, AM : 5:00-11:59,(Heavy Traffic=152, Other=43, Weather Conditions=26),PM : 12:00-19:00,(Late return from Field Trip=10, Other=7, Heavy Traffic=5)
07/03/16, AM : 5:00-11:59,(Heavy Traffic=144, Other=99, Mechanical Problem=18),PM : 12:00-19:00,(Other=5, Heavy Traffic=4, Mechanical Problem=2)
08/03/16, AM : 5:00-11:59,(Heavy Traffic=87, Other=23, Problem Run=11),PM : 12:00-19:00,(Heavy Traffic=10, Other=4, Accident=3)
09/03/16, AM : 5:00-11:59,(Heavy Traffic=68, Other=26, Mechanical Problem=6),PM : 12:00-19:00,(Heavy Traffic=16, Other=13, Late return from Field Trip=6)
10/03/16, AM : 5:00-11:59,(Heavy Traffic=205, Other=43, Flat Tire=9),PM : 12:00-19:00,(Heavy Traffic=63, Other=7, Late return from Field Trip=4)
11/03/16, AM : 5:00-11:59,(Heavy Traffic=146, Other=33, Accident=7),PM : 12:00-19:00,(Heavy Traffic=12, Other=10, Flat Tire=2)
14/03/16, AM : 5:00-11:59,(Heavy Traffic=189, Other=50, Weather Conditions=7),PM : 12:00-19:00,(Heavy Traffic=11, Other=8, Late return from Field Trip=7)
15/03/16, AM : 5:00-11:59,(Heavy Traffic=142, Other=37, Won`t Start=6),PM : 12:00-19:00,(Heavy Traffic=15, Other=11, Late return from Field Trip=4)
16/03/16, AM : 5:00-11:59,(Heavy Traffic=113, Other=49, Mechanical Problem=7),PM : 12:00-19:00,(Heavy Traffic=16, Other=5, Late return from Field Trip=4)
17/03/16, AM : 5:00-11:59,(Heavy Traffic=139, Other=42, Won`t Start=6),PM : 12:00-19:00,(Heavy Traffic=9, Other=4, Delayed by School=2)
18/03/16, AM : 5:00-11:59,(Heavy Traffic=106, Other=44, Mechanical Problem=6),PM : 12:00-19:00,(Heavy Traffic=18, Late return from Field Trip=4, Other=4)
21/03/16, AM : 5:00-11:59,(Heavy Traffic=145, Other=73, Weather Conditions=23),PM : 12:00-19:00,(Heavy Traffic=7, Other=7, Mechanical Problem=3)
22/03/16, AM : 5:00-11:59,(Heavy Traffic=152, Other=39, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=17, Late return from Field Trip=14, Other=4)
23/03/16, AM : 5:00-11:59,(Heavy Traffic=114, Other=48, Mechanical Problem=5),PM : 12:00-19:00,(Heavy Traffic=15, Late return from Field Trip=10, Other=4)
24/03/16, AM : 5:00-11:59,(Heavy Traffic=85, Other=27, Mechanical Problem=8),PM : 12:00-19:00,(Heavy Traffic=19, Other=11, Mechanical Problem=3)
28/03/16, AM : 5:00-11:59,(Heavy Traffic=141, Other=61, Weather Conditions=47),PM : 12:00-19:00,(Heavy Traffic=10, Other=5, Mechanical Problem=4)
29/03/16, AM : 5:00-11:59,(Heavy Traffic=119, Other=53, Mechanical Problem=6),PM : 12:00-19:00,(Heavy Traffic=8, Other=3, Late return from Field Trip=2)
30/03/16, AM : 5:00-11:59,(Heavy Traffic=110, Other=38, Mechanical Problem=5),PM : 12:00-19:00,(Heavy Traffic=18, Other=8, Accident=3)
31/03/16, AM : 5:00-11:59,(Heavy Traffic=146, Other=42, Mechanical Problem=6),PM : 12:00-19:00,(Heavy Traffic=6, Late return from Field Trip=5, Mechanical Problem=3)
01/04/16, AM : 5:00-11:59,(Heavy Traffic=96, Other=27, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=16, Late return from Field Trip=3, Mechanical Problem=2)
04/04/16, AM : 5:00-11:59,(Heavy Traffic=186, Other=58, Won`t Start=13),PM : 12:00-19:00,(Heavy Traffic=13, Mechanical Problem=6, Other=4)
05/04/16, AM : 5:00-11:59,(Heavy Traffic=185, Other=52, Won`t Start=14),PM : 12:00-19:00,(Heavy Traffic=17, Late return from Field Trip=15, Other=4)
06/04/16, AM : 5:00-11:59,(Heavy Traffic=139, Other=37, Won`t Start=5),PM : 12:00-19:00,(Heavy Traffic=21, Delayed by School=14, Late return from Field Trip=14)
07/04/16, AM : 5:00-11:59,(Heavy Traffic=190, Other=46, Mechanical Problem=10),PM : 12:00-19:00,(Heavy Traffic=18, Late return from Field Trip=9, Other=5)
08/04/16, AM : 5:00-11:59,(Heavy Traffic=114, Other=29, Mechanical Problem=13),PM : 12:00-19:00,(Heavy Traffic=16, Late return from Field Trip=6, Other=3)
11/04/16, AM : 5:00-11:59,(Heavy Traffic=168, Other=33, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=26, Other=6, Late return from Field Trip=5)
12/04/16, AM : 5:00-11:59,(Heavy Traffic=188, Other=46, Won`t Start=6),PM : 12:00-19:00,(Heavy Traffic=20, Other=7, Late return from Field Trip=3)
13/04/16, AM : 5:00-11:59,(Heavy Traffic=137, Other=31, Accident=7),PM : 12:00-19:00,(Late return from Field Trip=40, Heavy Traffic=24, Other=5)
14/04/16, AM : 5:00-11:59,(Heavy Traffic=126, Other=41, Mechanical Problem=7),PM : 12:00-19:00,(Heavy Traffic=20, Late return from Field Trip=14, Other=8)
