19/10/17,LEESEL TRANSP CORP B2192), 279.9 ,RELIANT TRANS INC. B2321), 133.9 ,PIONEER TRANSPORTATION CORP, 87.7 ,G.V.C. LTD., 61.3 ,NEW DAWN TRANSIT, LLC B2321), 35.0)
26/10/17,LEESEL TRANSP CORP B2192), 267.3 ,RELIANT TRANS INC. B2321), 94.3 ,PIONEER TRANSPORTATION CORP, 83.0 ,G.V.C. LTD., 47.2 ,VAN TRANS LLC B2192), 38.5)
02/11/17,LEESEL TRANSP CORP B2192), 132.7 ,RELIANT TRANS INC. B2321), 49.6 ,G.V.C. LTD., 33.2 ,PIONEER TRANSPORTATION CORP, 23.3 ,NEW DAWN TRANSIT, LLC B2321), 22.0)
09/11/17,LEESEL TRANSP CORP B2192), 228.0 ,RELIANT TRANS INC. B2321), 113.0 ,PIONEER TRANSPORTATION CORP, 82.6 ,G.V.C. LTD., 49.6 ,BORO TRANSIT INC., 40.3)
16/11/17,LEESEL TRANSP CORP B2192), 189.2 ,RELIANT TRANS INC. B2321), 76.4 ,PIONEER TRANSPORTATION CORP, 66.1 ,G.V.C. LTD., 31.5 ,VAN TRANS LLC B2192), 31.3)
23/11/17,LEESEL TRANSP CORP B2192), 104.8 ,RELIANT TRANS INC. B2321), 45.4 ,PIONEER TRANSPORTATION CORP, 41.9 ,G.V.C. LTD., 25.7 ,BORO TRANSIT INC., 19.9)
30/11/17,LEESEL TRANSP CORP B2192), 165.7 ,PIONEER TRANSPORTATION CORP, 75.1 ,RELIANT TRANS INC. B2321), 54.7 ,VAN TRANS LLC B2192), 51.2 ,G.V.C. LTD., 30.4)
07/12/17,LEESEL TRANSP CORP B2192), 250.4 ,PIONEER TRANSPORTATION CORP, 93.9 ,RELIANT TRANS INC. B2321), 83.1 ,VAN TRANS LLC B2192), 50.3 ,G.V.C. LTD., 45.1)
14/12/17,LEESEL TRANSP CORP B2192), 288.5 ,RELIANT TRANS INC. B2321), 134.0 ,PIONEER TRANSPORTATION CORP, 131.7 ,VAN TRANS LLC B2192), 73.2 ,NEW DAWN TRANSIT, LLC B2321), 54.1)
21/12/17,LEESEL TRANSP CORP B2192), 99.1 ,RELIANT TRANS INC. B2321), 30.4 ,PIONEER TRANSPORTATION CORP, 29.8 ,NEW DAWN TRANSIT, LLC B2321), 17.4 ,VAN TRANS LLC B2192), 16.4)
