01/08/17,Nassau County,33.333333333333336, Brooklyn,28.387755102040817, Westchester,29.973684210526315, Rockland County,30.0, New Jersey,45.0, Queens,29.186046511627907, Bronx,24.496350364963504, Staten Island,24.324324324324323, Manhattan,27.46788990825688
01/09/17,Manhattan,37.105777777777774, Queens,34.504934210526315, Brooklyn,30.430260047281322, Rockland County,35.75, Staten Island,32.14, New Jersey,47.63333333333333, Connecticut,21.125, All Boroughs,38.0, Westchester,34.19047619047619, Nassau County,29.21153846153846, Bronx,21.355721393034827
01/10/17,Manhattan,35.00647149460709, Queens,29.644153225806452, New Jersey,47.76190476190476, Connecticut,25.5, Westchester,31.32128514056225, All Boroughs,33.78125, Rockland County,29.31578947368421, Nassau County,31.198347107438018, Bronx,21.573900148294612, Brooklyn,28.418616744669787, Staten Island,26.239774330042312
01/11/17,Brooklyn,27.041800643086816, Bronx,22.782967032967033, Staten Island,24.908482142857142, New Jersey,41.3921568627451, Rockland County,26.0, Manhattan,34.75321581705574, Connecticut,32.375, All Boroughs,23.0, Nassau County,35.0, Queens,30.664391353811148, Westchester,34.57219251336898
01/12/17,Nassau County,33.44565217391305, Brooklyn,28.598591549295776, Westchester,36.06425702811245, Connecticut,34.4, New Jersey,42.325, Queens,27.710789766407117, Rockland County,29.0, All Boroughs,32.0, Staten Island,23.921779141104295, Bronx,22.772039645279083, Manhattan,34.489583333333336
01/01/18,Manhattan,35.15433789954338, New Jersey,40.24390243902439, Westchester,32.5919540229885, Nassau County,35.86666666666667, All Boroughs,50.666666666666664, Bronx,25.103307888040714, Rockland County,44.15384615384615, Connecticut,30.5, Staten Island,25.054758800521512, Brooklyn,35.380429812528575, Queens,30.9873417721519
01/02/18,Nassau County,34.06944444444444, Manhattan,31.807580174927114, Westchester,30.18811881188119, New Jersey,38.0, Rockland County,41.333333333333336, Queens,33.42178770949721, Connecticut,23.0, Staten Island,25.304651162790698, Bronx,29.333015267175572, Brooklyn,32.566265060240966
01/03/18,Nassau County,38.62637362637363, Manhattan,33.95210597826087, Bronx,29.04201680672269, New Jersey,44.160714285714285, Rockland County,37.5, Staten Island,25.49390919158361, Westchester,28.079710144927535, Brooklyn,32.309798887462556, Queens,33.118143459915615
01/04/18,Bronx,26.23697767601603, Queens,37.885889570552145, Brooklyn,36.536567164179104, Staten Island,23.86123348017621, New Jersey,42.4, Manhattan,35.51500938086304, Rockland County,32.23076923076923, Connecticut,8.0, Westchester,37.08839779005525, Nassau County,33.46774193548387, All Boroughs,38.0
01/05/18,Staten Island,23.76072821846554, Bronx,33.37991670522906, Westchester,34.116279069767444, New Jersey,47.83018867924528, Rockland County,38.0, Queens,38.42772612003381, Connecticut,45.5, Nassau County,39.736196319018404, Manhattan,34.91346153846154, Brooklyn,39.30718954248366
